Genus,Species,Currently accecpted Name?,Genome Size (mb),Chrom Number,Ploidy level,Genbank Acc #,Habitat Preference (Biomes) ,Life form (P/A),Ref. spp size / Chrom #,Ref. Habitat Pref,Ref. Life form ,Notes
Calibrachoa,heterophylla,,5809,18,2,,Temperate,P,"Mishiba et al., 2000 (Ref. 387)",,http://www2.darwin.edu.ar/Proyectos/FloraArgentina/DetalleEspecie.asp?forma=&variedad=&subespecie=&especie=pygmaea&genero=Calibrachoa&espcod=11999,
Calibrachoa,sendtneriana,,5790,18,2,,Temperate,P,"Mishiba et al., 2000 (Ref. 387)",,,
Capsicum,tovarii,,15511,24,2,,Tropical,P,"Belletti, 1998 (Ref. 434)",,https://link.springer.com/content/pdf/10.2307%2F2806051.pdf,
Capsicum,chacoense,,14983,24,2,,Temperate,P,"Belletti, 1998 (Ref. 434)",,http://www2.darwin.edu.ar/Proyectos/FloraArgentina/sinonimoespecie.asp?sincod=3380&especie=chacoense&genero=Capsicum&EspCod=3380,
Capsicum,cardenasii,,17545,24,2,,,P,"Belletti, 1998 (Ref. 434)",,W,
Capsicum,praetermissum,,17858,24,2,,Tropical,P,"Belletti, 1998 (Ref. 434)",floradobrasil,floradobrasil,
Capsicum,annuum,,12362,24,2,,Tropical,P,"Moscone et al., 2003 (Ref. 481)",floradobrasil,floradobrasil,
Capsicum,baccatum,,14514,24,2,,Tropical,P,"Moscone et al., 2003 (Ref. 481)",floradobrasil,floradobrasil,
Capsicum,chinense,,13379,24,2,,Tropical,P,"Moscone et al., 2003 (Ref. 481)",floradobrasil,floradobrasil,
Capsicum,pubescens,,17487,24,2,,,P,"Moscone et al., 2003 (Ref. 481)",,W,
Capsicum,frutescens,,13301,24,2,,Tropical,P,"Moscone et al., 2003 (Ref. 481)",floradobrasil,floradobrasil,
Capsicum,parvifolium,,22572,24,2,,Tropical,P,"Moscone et al., 2003 (Ref. 481)",floradobrasil,floradobrasil,
Capsicum,campylopodium,,17721,26,2,,Tropical,P,"Moscone et al., 2003 (Ref. 481)",floradobrasil,floradobrasil,
Lycianthes,asarifolia,,6161,,,,Tropical,P,"Bennett et al., 1999 (Ref. 373)",,https://plants.usda.gov/core/profile?symbol=LYAS4,
Lycium,chilense,,6944,24,2,,arid level areas,P,"Stiefkens & Bernardello, 2000 (Ref. 487)",,http://www.llifle.com/Encyclopedia/SUCCULENTS/Family/Solanaceae/30952/Lycium_chilense,
Nicotiana,alata,,9487,18,2,,,P,"Narayan, 1987 (Ref. 199)",,W,
Nicotiana,glauca,,20831,24,2,,Semi-arid,P,"Narayan, 1987 (Ref. 199)",,,
Nicotiana,otophora,,12812,24,2,,,P,"Narayan, 1987 (Ref. 199)",,W,
Nicotiana,tomentosiformis,,10729,24,2,,Temperate,P,"Leitch et al., 2008 (Ref. 566)",,,
Petunia,reitzii,,5614,14,2,,Temperate,P,"Mishiba et al., 2000 (Ref. 387)",,,
Petunia,interior,,5809,14,2,,Temperate,P,"Mishiba et al., 2000 (Ref. 387)",http://www2.darwin.edu.ar/Proyectos/FloraArgentina/DetalleEspecie.asp?forma=&variedad=&subespecie=&especie=interior&genero=Petunia&espcod=35767,,
